portNumber,portName,regionNumber,regionName,countryCode,countryName,latitude,longitude,publicationNumber,chartNumber,navArea,harborSize,harborType,shelter,erTide,erSwell,erIce,erOther,overheadLimits,chDepth,anDepth,cpDepth,otDepth,tide,maxVesselLength,maxVesselBeam,maxVesselDraft,goodHoldingGround,turningArea,firstPortOfEntry,usRep,ptCompulsory,ptAvailable,ptLocalAssist,ptAdvisable,tugsSalvage,tugsAssist,qtPratique,qtOther,cmTelephone,cmTelegraph,cmRadio,cmRadioTel,cmAir,cmRail,loWharves,loAnchor,loMedMoor,loBeachMoor,loIceMoor,medFacilities,garbageDisposal,degauss,dirtyBallast,crFixed,crMobile,crFloating,lifts100,lifts50,lifts25,lifts0,srLongshore,srElectrical,srSteam,srNavigEquip,srElectRepair,suProvisions,suWater,suFuel,suDiesel,suDeck,suEngine,repairCode,drydock,railway,qtSanitation,suAviationFuel,harborUse,ukcMgmtSystem,portSecurity,etaMessage,searchAndRescue,tss,vts,cht,globalId,loRoro,loSolidBulk,loContainer,loBreakBulk,loOilTerm,loLongTerm,loOther,loDangCargo,loLiquidBulk,srIceBreaking,srDiving,cranesContainer,unloCode,dnc,s121WaterBody,s57Enc,s101Enc,dodWaterBody,alternateName,entranceWidth,lngTerminalDepth,offMaxVesselLength,offMaxVesselBeam,offMaxVesselDraft,
39110,Calvi,39040,CORSE,FR,France,"42°34'00""N","8°45'00""E",Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,53313,III,V,CN,F,U,U,U,Y,U,9,23,9,,0,,,,U,U,U,U,N,,,Y,N,N,Y,U,U,U,Y,U,Y,Y,Y,Y,U,U,U,Y,U,U,U,U,Y,U,U,U,U,Y,Y,U,U,U,U,N,Y,U,Y,U,U,C,S,U,Y,U,UNK,U,U,Y,U,U,U,U,{419FC66E-70C9-4E8F-963D-0E96A58498AC},U,U,U,U,U,U,U,U,U,U,U,U,FR CLY,"a0839110, coa08k, gen08a, h0839110",,,,Ligurian Sea; Mediterranean Sea; North Atlantic Ocean,,,,,,,
38960,Cannes,38710,FRANCE SOUTH COAST,FR,France,"43°33'00""N","7°01'00""E",Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,53085,III,S,CN,G,U,U,U,Y,Y,8,23,5,,0,,,,Y,U,U,U,U,,,U,U,Y,U,U,Y,U,Y,U,Y,Y,Y,Y,U,U,U,Y,Y,U,N,U,Y,U,U,U,U,Y,Y,U,U,U,U,U,Y,Y,Y,U,U,C,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{4604343D-58ED-44D2-939C-B1E25521F858},U,U,U,U,U,U,U,U,U,U,U,U,FR CEQ,"a0838960, coa08k, gen08a, h0838960",,,,Mediterranean Sea; North Atlantic Ocean,,,,,,,
36620,Concarneau,36450,FRANCE WEST COAST,FR,France,"47°52'00""N","3°55'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,37360,II,V,CB,F,Y,U,U,Y,Y,5,13,5,,3,,,,U,U,Y,N,Y,,,Y,U,Y,Y,U,U,U,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,U,Y,Y,Y,Y,Y,U,U,U,U,Y,Y,Y,Y,U,U,B,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{98E00140-3CE0-4C9A-B42D-48049A194B1E},U,U,U,U,U,U,U,U,U,U,U,U,FR COC,"a0836680, coa08a, gen08b",,,,Bay of Biscay; North Atlantic Ocean,,,,,,,
35870,Deauville,35720,FRANCE NW COAST,FR,France,"49°22'00""N","0°05'00""E",Sailing Directions Pub. 191 (Enroute) - English Channel,37261,I,V,LC,F,Y,N,N,Y,Y,0,13,3,,7,,,,U,U,Y,N,Y,,,U,N,N,Y,U,Y,U,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,N,Y,Y,U,U,U,U,Y,Y,U,U,U,U,U,Y,Y,Y,U,U,C,S,S,U,U,UNK,U,U,Y,U,U,U,U,{D559CB42-346B-4ED0-9433-14F943173C31},U,U,U,U,U,U,U,U,U,U,U,U,FR DOL,"a2035840, coa20c, gen20b",,,,English Channel; North Atlantic Ocean,,,,,,,
35810,Dieppe,35720,FRANCE NW COAST,FR,France,"49°56'00""N","1°05'00""E",Sailing Directions Pub. 191 (Enroute) - English Channel,37115,I,S,LC,G,Y,Y,N,Y,Y,5,11,8,,9,,,,Y,U,Y,N,Y,,,Y,U,Y,Y,U,Y,Y,Y,Y,Y,Y,U,U,U,U,U,Y,Y,U,Y,Y,Y,U,U,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,S,S,Y,U,UNK,U,U,Y,U,U,U,U,{1F2F3727-2FAD-4F49-B533-0A7F9E223279},U,U,U,U,U,U,U,U,U,U,U,U,FR DPE,"a2035810, coa20c, gen20b, h2035810",,,,English Channel; North Atlantic Ocean,,,,,,,
36860,Donges,36450,FRANCE WEST COAST,FR,France,"47°18'00""N","2°04'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,37380,II,S,RN,E,Y,N,N,Y,Y,14,19,13,16,5,,,,Y,Y,U,U,Y,,,U,Y,Y,Y,U,Y,U,U,Y,Y,U,Y,U,U,U,U,Y,U,U,Y,U,U,U,U,U,U,U,Y,U,U,Y,Y,Y,Y,Y,Y,Y,Y,C,S,U,Y,U,UNK,U,U,Y,U,U,U,U,{016787FC-5E99-46E4-A193-1F13B6058D07},U,U,U,U,U,U,U,U,U,U,U,U,FR DON,"coa08a, gen08b, h0836850",,,,Bay of Biscay; North Atlantic Ocean,,,,,,,
35730,Dunkerque Port Est,35720,FRANCE NW COAST,FR,France,"51°03'00""N","2°23'00""E",Sailing Directions Pub. 191 (Enroute) - English Channel,37129,I,M,RT,E,Y,N,N,Y,Y,14,20,14,13,6,,,,Y,Y,Y,N,Y,,,Y,U,Y,Y,U,Y,Y,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,Y,Y,U,Y,Y,Y,Y,Y,A,L,U,U,U,UNK,U,U,Y,U,U,U,U,{CB2E794E-DD85-41B7-94B4-2C1F5A3E8906},U,U,U,U,U,U,U,U,U,U,U,U,FR DKK,"a2035730, coa20d, gen20b, h2035730",,,,North Sea; North Atlantic Ocean,,,,,,,
35732,Dunkerque Port Ouest,35720,FRANCE NW COAST,FR,France,"51°04'00""N","2°21'00""E",Sailing Directions Pub. 191 (Enroute) - English Channel,37129,I,M,CT,G,Y,N,N,Y,Y,20,20,22,22,6,,,,Y,Y,Y,N,Y,,,Y,U,Y,Y,U,Y,Y,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,U,U,Y,U,U,Y,U,U,U,U,U,Y,Y,Y,Y,Y,C,U,U,U,U,UNK,U,U,Y,U,U,U,U,{6B196206-6B31-4804-A2D4-C536C11E492B},U,U,U,U,U,U,U,U,U,U,U,U,FR DKK,"a2035730, coa20d, gen20b, h2035730",,,,North Sea; North Atlantic Ocean,,,,,,,
35830,Fecamp,35720,FRANCE NW COAST,FR,France,"49°46'00""N","0°22'00""E",Sailing Directions Pub. 191 (Enroute) - English Channel,37115,I,S,LC,F,Y,Y,N,Y,Y,0,11,6,6,6,,,,U,U,Y,N,Y,,,U,N,Y,Y,U,Y,U,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,N,Y,Y,U,Y,U,Y,Y,Y,U,U,U,U,U,Y,Y,Y,U,U,C,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{1C9A8EFB-EB02-4A20-8DBF-B004C0C2DB2F},U,U,U,U,U,U,U,U,U,U,U,U,FR FEC,"a2035840, coa20c, gen20b",,,,English Channel; North Atlantic Ocean,,,,,,,
38775,Fos,38710,FRANCE SOUTH COAST,FR,France,"43°25'00""N","4°53'00""E",Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,53061,III,V,CB,F,Y,N,N,U,U,22,11,6,20,0,,,,Y,U,Y,U,Y,,,Y,Y,Y,Y,Y,U,U,Y,Y,Y,Y,Y,U,U,U,U,Y,Y,U,Y,U,Y,U,U,U,Y,Y,Y,U,U,Y,Y,Y,Y,Y,Y,Y,Y,B,M,S,Y,U,UNK,U,U,Y,U,U,U,U,{E2066DBD-8AE1-4C06-B735-54C5D0A939AE},U,U,U,U,U,U,U,U,U,U,U,U,FR FOS,"a0838810, coa08j, gen08a, h0838770",,,,Gulf of Lion; Mediterranean Sea; North Atlantic Ocean,,,,,,,
36110,Granville,36060,FRANCE NW COAST CONT,FR,France,"48°50'00""N","1°36'00""W",Sailing Directions Pub. 191 (Enroute) - English Channel,37080,I,V,CT,F,Y,N,N,Y,Y,0,6,8,,11,,,,U,U,Y,N,Y,,,U,N,N,Y,U,Y,U,Y,U,Y,Y,U,U,U,U,U,Y,U,U,Y,Y,Y,U,U,U,U,Y,Y,Y,U,U,U,U,Y,Y,U,U,U,C,S,S,U,U,UNK,U,U,Y,U,U,U,U,{540D10C3-FA6F-470D-8053-2BC6F8F0A427},U,U,U,U,U,U,U,U,U,U,U,U,FR GFR,"a2036130, coa20b, gen20b",,,,English Channel; North Atlantic Ocean,,,,,,,
35740,Gravelines,35720,FRANCE NW COAST,FR,France,"51°00'00""N","2°07'00""E",Sailing Directions Pub. 191 (Enroute) - English Channel,"37120, 37140",I,V,RT,G,Y,N,N,Y,Y,0,9,,,6,,,,Y,Y,Y,N,N,,,Y,U,Y,Y,Y,Y,Y,Y,U,Y,Y,U,U,U,U,U,Y,U,U,N,Y,Y,U,U,U,U,Y,U,U,U,U,U,U,Y,Y,Y,Y,Y,C,U,S,U,U,UNK,U,U,Y,U,U,U,U,{B0C26A32-E586-4F7B-9D0A-19C289134B93},U,U,U,U,U,U,U,U,U,U,U,U,FR GRV,"a2035710, coa20d, gen20b, h2035730",,,,North Sea; North Atlantic Ocean,,,,,,,
35860,Honfleur,35720,FRANCE NW COAST,FR,France,"49°25'00""N","0°13'00""E",Sailing Directions Pub. 191 (Enroute) - English Channel,37261,I,V,RT,G,Y,N,N,Y,U,3,13,8,9,7,,,,Y,Y,Y,N,Y,,,Y,N,Y,Y,U,Y,U,Y,U,Y,Y,Y,U,U,U,U,Y,U,U,N,Y,Y,U,U,U,U,Y,U,U,U,U,U,U,Y,Y,Y,U,U,B,U,U,U,U,UNK,U,U,Y,U,U,U,U,{A00D858F-254F-4AA5-938C-62478762DBF0},U,U,U,U,U,U,U,U,U,U,U,U,FR HON,"a2035840, coa20c, gen20b",,,,English Channel; North Atlantic Ocean,,,,,,,
37000,La Pallice,36450,FRANCE WEST COAST,FR,France,"46°10'00""N","1°13'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,37402,II,M,CT,E,Y,U,U,U,U,11,13,14,16,3,,,,Y,Y,Y,N,Y,,,Y,U,Y,Y,Y,Y,Y,U,Y,Y,Y,Y,U,U,U,U,Y,U,U,N,Y,Y,Y,U,Y,Y,Y,Y,U,U,Y,Y,Y,Y,Y,Y,Y,Y,A,M,U,Y,U,UNK,U,U,Y,U,U,U,U,{0E96A1AC-BD55-4F8C-811E-4A42B780552A},U,U,U,U,U,U,U,U,U,U,U,U,FR LPE,"a0837010, coa08b, gen08b, h0837010",,,,Bay of Biscay; North Atlantic Ocean,,,,,,,
37010,La Rochelle,36450,FRANCE WEST COAST,FR,France,"46°09'00""N","1°09'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,37402,II,M,CT,E,Y,N,N,U,U,11,5,9,11,3,,,,Y,U,Y,N,Y,,,Y,U,Y,Y,U,Y,Y,Y,U,Y,Y,Y,U,U,U,U,Y,U,U,N,Y,Y,U,U,U,Y,Y,Y,U,U,Y,Y,Y,Y,Y,Y,Y,Y,A,S,S,Y,U,UNK,U,U,Y,U,U,U,U,{D2B6DC8E-9145-4E4B-9B4F-6B39F8F6AFF8},U,U,U,U,U,U,U,U,U,U,U,U,FR LRH,"a0837010, coa08b, gen08b, h0837010",,,,Bay of Biscay; North Atlantic Ocean,,,,,,,
36220,Le Legue,36060,FRANCE NW COAST CONT,FR,France,"48°32'00""N","2°45'00""W",Sailing Directions Pub. 191 (Enroute) - English Channel,37330,I,V,RT,G,Y,U,U,Y,U,0,6,5,,10,,,,Y,U,Y,U,Y,,,U,N,N,Y,Y,Y,Y,Y,U,Y,Y,U,U,U,U,U,Y,Y,U,N,Y,Y,Y,U,U,U,Y,Y,U,U,U,U,Y,Y,Y,Y,U,U,C,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{03C2D27E-2FBA-4E83-8638-CA5BDB31984D},U,U,U,U,U,U,U,U,U,U,U,U,FR LLG,gen20b,,,,English Channel; North Atlantic Ocean,St Brieuc,,,,,,
36960,Les Sables D' Olonne,36450,FRANCE WEST COAST,FR,France,"46°30'00""N","1°48'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,"37380, 37400",II,M,RB,F,Y,U,U,Y,Y,6,8,6,,11,,,,U,U,U,U,Y,,,Y,N,N,Y,Y,U,Y,Y,U,Y,Y,Y,U,U,U,U,Y,U,U,N,Y,Y,U,U,U,U,Y,Y,U,U,U,U,Y,Y,Y,U,U,U,C,U,U,Y,U,UNK,U,U,U,U,U,U,U,{E2CDF02B-69B7-4E6F-BFE6-2466E90E2D65},U,U,U,U,U,U,U,U,U,U,U,U,FR LSO,"a0837010, coa08b, gen08b",,,,Bay of Biscay; North Atlantic Ocean,,,,,,,
35800,Le Treport,35720,FRANCE NW COAST,FR,France,"50°04'00""N","1°22'00""E",Sailing Directions Pub. 191 (Enroute) - English Channel,37115,I,V,RT,F,Y,Y,N,Y,Y,0,14,6,,9,,,,N,U,Y,N,Y,,,Y,N,N,U,U,Y,U,Y,U,Y,Y,U,U,U,U,U,Y,Y,U,Y,Y,Y,U,U,U,U,Y,U,U,U,U,U,U,Y,Y,Y,U,U,C,U,S,U,U,UNK,U,U,Y,U,U,U,U,{2E295115-A41F-4BD4-B4E1-25468BF8EFEF},U,U,U,U,U,U,U,U,U,U,U,U,FR LTR,"a2035810, coa20c, gen20b",,,,English Channel; North Atlantic Ocean,Treport,,,,,,
37120,Le Verdon,36450,FRANCE WEST COAST,FR,France,"45°33'00""N","1°03'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,37403,II,S,RN,F,N,N,N,Y,U,13,9,16,16,10,,,,Y,U,U,U,Y,,,U,Y,Y,Y,U,U,U,Y,U,U,Y,U,U,U,U,U,U,Y,U,N,U,Y,U,U,U,Y,U,Y,U,U,Y,Y,Y,Y,Y,Y,Y,Y,D,S,U,U,U,UNK,U,U,Y,U,U,U,U,{0514B88E-0DD4-4D42-9A35-6E740EA46CCB},U,U,U,U,U,U,U,U,U,U,U,U,FR LVE,"a0837190, coa08b, gen08b, h0837120",,,,Bay of Biscay; North Atlantic Ocean,,,,,,,
39120,L'ile Rousse,39040,CORSE,FR,France,"42°38'00""N","8°56'00""E",Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,"53100, 53110",III,V,CB,F,N,Y,N,N,U,6,23,8,,0,,,,U,U,U,N,N,,,Y,N,N,Y,U,U,U,Y,U,Y,Y,Y,Y,Y,U,U,Y,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,Y,Y,Y,Y,N,N,C,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{3BFBC8A2-3219-4416-99EB-0F2C501219C4},U,U,U,U,U,U,U,U,U,U,U,U,FR ILR,"a0839110, coa08k, gen08a",,,,Ligurian Sea; Mediterranean Sea; North Atlantic Ocean,,,,,,,
36680,Lorient,36450,FRANCE WEST COAST,FR,France,"47°45'00""N","3°21'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,37343,II,M,RN,E,Y,Y,N,N,Y,8,19,10,10,4,,,,Y,U,Y,Y,Y,,,Y,U,Y,Y,U,Y,U,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,U,U,Y,Y,Y,U,U,U,Y,Y,Y,Y,Y,Y,Y,Y,C,M,S,Y,U,UNK,U,Y,Y,U,U,U,U,{C9C9BC91-259E-4B25-A9AD-C7D3A764A472},Y,Y,Y,Y,Y,N,Y,U,Y,U,U,U,FR LRT,"a0836680, coa08a, gen08b, h0836680",,,,Bay of Biscay; North Atlantic Ocean,,,,,,,
38810,Marseille,38710,FRANCE SOUTH COAST,FR,France,"43°19'00""N","5°22'00""E",Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,53062,III,S,CB,E,N,N,N,N,Y,13,11,16,11,0,,,,Y,Y,Y,N,Y,,,Y,Y,Y,Y,U,Y,Y,Y,Y,Y,Y,Y,U,U,U,U,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,L,S,Y,U,UNK,U,U,Y,U,U,U,U,{27F29210-C393-4ACA-A5FC-2D5476B548D1},U,U,U,U,U,U,U,U,U,U,U,U,FR MRS,"a0838810, coa08j, gen08a, h0838810",,,,Gulf of Lion; Mediterranean Sea; North Atlantic Ocean,,,,,,,
36855,Montoir,36060,FRANCE NW COAST CONT,FR,France,"47°18'00""N","2°08'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,37380,II,M,RN,G,U,U,U,U,U,13,,11,11,0,,,,U,U,U,U,Y,,,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,UNK,U,U,U,U,U,U,U,{8B9E4A2E-C2ED-4501-882C-D9162D4A94AB},U,U,U,U,U,U,U,U,U,U,U,U,FR MTX,"a0836850, coa08a, gen08b, h0836850",,,,Bay of Biscay; North Atlantic Ocean,,,,,,,
36360,Morlaix,36060,FRANCE NW COAST CONT,FR,France,"48°35'00""N","3°50'00""W",Sailing Directions Pub. 191 (Enroute) - English Channel,37330,I,S,RT,G,U,Y,N,Y,Y,0,20,3,,8,,,,U,U,Y,N,Y,,,U,N,N,Y,U,U,U,Y,U,Y,Y,U,U,U,U,U,Y,U,U,N,Y,Y,U,U,U,U,Y,Y,U,U,U,U,Y,Y,U,U,U,U,C,U,M,U,U,UNK,U,U,Y,U,U,U,U,{30AF0555-50C7-466A-94A9-5DA281C12121},U,U,U,U,U,U,U,U,U,U,U,U,FR MXN,"a2036130, coa20b, gen20b",,,,English Channel; North Atlantic Ocean,,,,,,,
36900,Nantes,36450,FRANCE WEST COAST,FR,France,"47°12'00""N","1°34'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,37380,II,M,RN,F,Y,N,N,U,Y,8,19,5,6,4,,,,U,Y,Y,N,Y,,,Y,U,Y,Y,U,Y,Y,Y,U,Y,Y,Y,U,U,U,U,Y,U,U,Y,Y,Y,Y,U,Y,Y,Y,Y,U,U,Y,Y,Y,Y,Y,Y,Y,Y,A,S,M,Y,U,UNK,U,U,Y,U,U,U,U,{89A5D2F2-2C6E-49DB-B14F-C61F9712E177},U,U,U,U,U,U,U,U,U,U,U,U,FR NTE,"coa08a, gen08b, h0836850",,,,Bay of Biscay; North Atlantic Ocean,,,,,,,
